Make,AccidentArea,Sex,MaritalStatus,Age,Fault,VehicleCategory,VehiclePrice,Deductible,DriverRating,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange-Claim,NumberOfCars,BasePolicy,daysDiff
Make2,Urban,Female,Single,21,Policy Holder,Sport,"more than 69,000",300,1,more than 30,more than 30,none,less than 4 years,No,No,External,none,0 to 3 years,more than 1,Liability,0.0
Make2,Urban,Male,Single,34,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,none,4 to 6 years,Yes,No,External,none,no change,1 vehicle,Collision,5.0
Make2,Urban,Male,Married,47,Policy Holder,Sport,"more than 69,000",400,3,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,13.0
Make1,Rural,Male,Married,65,Third Party,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,1,more than 7,Yes,No,External,more than 5,no change,1 vehicle,Liability,20.0
Make2,Urban,Female,Single,27,Third Party,Sport,"more than 69,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,15.0
Make2,Urban,Male,Single,20,Third Party,Sport,"more than 69,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Collision,12.0
Make2,Urban,Male,Married,36,Third Party,Sport,"more than 69,000",400,1,more than 30,more than 30,1,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,9.0
Make2,Urban,Male,Single,17,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,1,less than 4 years,No,No,External,none,no change,1 vehicle,Collision,137.0
Make2,Urban,Male,Single,30,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,none,4 to 6 years,No,Yes,External,3 to 5,no change,1 vehicle,Collision,4.0
Make2,Urban,Male,Married,42,Policy Holder,Utility,"more than 69,000",400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,All Perils,1.0
Make1,Urban,Male,Single,71,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,All Perils,3.0
Make2,Urban,Male,Married,52,Policy Holder,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,Liability,0.0
