Make,AccidentArea,Sex,MaritalStatus,Age,Fault,VehicleCategory,VehiclePrice,Deductible,DriverRating,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange-Claim,NumberOfCars,BasePolicy,daysDiff
Honda,Urban,Female,Single,21,Policy Holder,Sport,"more than 69,000",300,1,more than 30,more than 30,none,3 years,No,No,External,none,1 year,3 to 4,Liability,0.0
Honda,Urban,Male,Single,34,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,none,6 years,Yes,No,External,none,no change,1 vehicle,Collision,5.0
Honda,Urban,Male,Married,47,Policy Holder,Sport,"more than 69,000",400,3,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,Collision,13.0
Toyota,Rural,Male,Married,65,Third Party,Sport,"20,000 to 29,000",400,2,more than 30,more than 30,1,more than 7,Yes,No,External,more than 5,no change,1 vehicle,Liability,20.0
Honda,Urban,Female,Single,27,Third Party,Sport,"more than 69,000",400,1,more than 30,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,Collision,15.0
Honda,Urban,Male,Single,20,Third Party,Sport,"more than 69,000",400,3,more than 30,more than 30,none,5 years,No,No,External,3 to 5,no change,1 vehicle,Collision,12.0
Honda,Urban,Male,Married,36,Third Party,Sport,"more than 69,000",400,1,more than 30,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,Collision,9.0
Honda,Urban,Male,Single,17,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,1,new,No,No,External,none,no change,1 vehicle,Collision,137.0
Honda,Urban,Male,Single,30,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,none,6 years,No,Yes,External,3 to 5,no change,1 vehicle,Collision,4.0
Ford,Urban,Male,Married,42,Policy Holder,Utility,"more than 69,000",400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,All Perils,1.0
Mazda,Urban,Male,Single,71,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,All Perils,3.0
Honda,Urban,Male,Married,52,Policy Holder,Sport,"20,000 to 29,000",400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,Liability,0.0
Ford,Urban,Male,Married,28,Policy Holder,Sport,"more than 69,000",400,1,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,Liability,0.0
Honda,Rural,Male,Single,17,Third Party,Sedan,"more than 69,000",400,3,more than 30,more than 30,none,new,No,No,External,none,no change,1 vehicle,Collision,5.0
Ford,Urban,Male,Married,61,Policy Holder,Sport,"more than 69,000",400,1,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,Liability,10.0
Ford,Urban,Male,Single,38,Policy Holder,Sport,"more than 69,000",400,1,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,Liability,6.0
Ford,Urban,Male,Married,41,Policy Holder,Sedan,"more than 69,000",400,4,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,All Perils,6.0
Chevrolet,Urban,Female,Married,28,Third Party,Sedan,"20,000 to 29,000",400,1,more than 30,more than 30,none,7 years,No,No,External,1 to 2,no change,1 vehicle,Collision,3.0
Pontiac,Urban,Male,Single,32,Policy Holder,Sport,"20,000 to 29,000",400,1,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,Liability,4.0
Honda,Urban,Male,Married,30,Third Party,Sport,"more than 69,000",400,2,more than 30,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,Liability,8.0
Mazda,Urban,Male,Married,40,Policy Holder,Sport,"20,000 to 29,000",400,1,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,Liability,18.0
Chevrolet,Urban,Male,Married,47,Policy Holder,Sedan,"20,000 to 29,000",400,2,more than 30,more than 30,1,more than 7,No,No,External,none,4 to 8 years,2 vehicles,Collision,0.0
Mazda,Urban,Male,Married,63,Policy Holder,Sport,"20,000 to 29,000",400,3,more than 30,more than 30,1,more than 7,No,No,External,1 to 2,no change,1 vehicle,Liability,11.0
Pontiac,Urban,Male,Single,31,Third Party,Sport,"30,000 to 39,000",400,3,more than 30,more than 30,none,6 years,No,No,External,3 to 5,no change,1 vehicle,Liability,0.0
Mazda,Urban,Male,Married,45,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,more than 4,more than 7,Yes,No,External,none,no change,1 vehicle,All Perils,0.0
Pontiac,Urban,Male,Married,60,Policy Holder,Sport,"20,000 to 29,000",400,4,more than 30,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,Liability,15.0
Honda,Urban,Male,Married,21,Policy Holder,Sedan,"30,000 to 39,000",400,2,more than 30,more than 30,more than 4,5 years,No,No,External,more than 5,no change,1 vehicle,Collision,98.0
Accura,Urban,Male,Married,42,Policy Holder,Sedan,"30,000 to 39,000",400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,All Perils,5.0
Honda,Urban,Male,Single,17,Policy Holder,Sedan,"more than 69,000",400,1,more than 30,more than 30,none,new,No,No,External,none,no change,1 vehicle,All Perils,80.0
Mazda,Urban,Female,Married,39,Policy Holder,Sedan,"20,000 to 29,000",400,3,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,Collision,9.0
Dodge,Urban,Male,Married,47,Policy Holder,Sedan,"30,000 to 39,000",400,1,more than 30,more than 30,2 to 4,more than 7,No,No,Internal,none,no change,1 vehicle,Collision,1.0
Honda,Urban,Male,Single,17,Policy Holder,Sedan,"more than 69,000",400,1,more than 30,more than 30,1,new,No,No,External,none,no change,1 vehicle,Collision,2.0
Chevrolet,Urban,Male,Single,42,Policy Holder,Sedan,"20,000 to 29,000",400,3,more than 30,more than 30,more than 4,7 years,No,No,External,3 to 5,no change,1 vehicle,Collision,0.0
Honda,Urban,Male,Single,30,Third Party,Sedan,"20,000 to 29,000",400,4,more than 30,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,1.0
Ford,Urban,Male,Married,42,Policy Holder,Utility,"more than 69,000",400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,All Perils,1.0
Chevrolet,Urban,Male,Single,34,Third Party,Sport,"20,000 to 29,000",400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,Liability,1.0
Honda,Urban,Male,Married,30,Third Party,Sedan,"20,000 to 29,000",400,4,more than 30,more than 30,none,6 years,No,No,External,more than 5,no change,1 vehicle,Collision,9.0
Mazda,Urban,Male,Single,27,Policy Holder,Sedan,"30,000 to 39,000",400,2,more than 30,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,Collision,7.0
Honda,Urban,Male,Married,55,Policy Holder,Sport,"more than 69,000",400,1,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,Collision,2.0
Toyota,Urban,Male,Married,35,Policy Holder,Sedan,"20,000 to 29,000",400,3,more than 30,more than 30,none,7 years,No,No,External,1 to 2,no change,1 vehicle,Collision,33.0
Chevrolet,Urban,Female,Married,35,Policy Holder,Sedan,"20,000 to 29,000",400,1,more than 30,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,Collision,7.0
Pontiac,Urban,Male,Married,44,Policy Holder,Sedan,"20,000 to 29,000",400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,3 to 4,All Perils,5.0
Toyota,Urban,Female,Single,42,Policy Holder,Sport,"20,000 to 29,000",400,4,more than 30,more than 30,none,4 years,No,No,External,none,4 to 8 years,2 vehicles,Liability,0.0
Honda,Urban,Male,Married,41,Policy Holder,Sedan,"20,000 to 29,000",400,2,more than 30,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,Collision,6.0
Toyota,Urban,Male,Married,72,Third Party,Sedan,"20,000 to 29,000",400,1,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,Collision,7.0
Pontiac,Urban,Female,Married,29,Third Party,Sedan,"less than 20,000",400,3,more than 30,more than 30,2 to 4,5 years,No,No,External,none,no change,1 vehicle,All Perils,1.0
Pontiac,Urban,Male,Single,32,Third Party,Sedan,"30,000 to 39,000",400,4,more than 30,more than 30,none,6 years,No,No,Internal,none,no change,1 vehicle,Collision,4.0
Mazda,Urban,Male,Married,37,Policy Holder,Sport,"30,000 to 39,000",400,3,more than 30,more than 30,2 to 4,5 years,No,No,External,more than 5,no change,1 vehicle,Liability,1.0
Chevrolet,Urban,Female,Married,37,Policy Holder,Sport,"more than 69,000",400,1,more than 30,more than 30,2 to 4,6 years,No,No,External,3 to 5,no change,1 vehicle,Liability,14.0
Pontiac,Urban,Male,Married,59,Policy Holder,Sedan,"20,000 to 29,000",400,4,more than 30,more than 30,more than 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,Collision,0.0
Pontiac,Urban,Male,Married,49,Policy Holder,Sport,"30,000 to 39,000",400,2,more than 30,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,Liability,0.0
Pontiac,Urban,Male,Married,27,Policy Holder,Sport,"20,000 to 29,000",500,3,more than 30,more than 30,2 to 4,6 years,No,No,External,3 to 5,2 to 3 years,1 vehicle,Liability,2.0
Honda,Rural,Male,Married,21,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,none,4 years,No,No,External,3 to 5,no change,1 vehicle,Collision,185.0
Honda,Urban,Male,Married,50,Policy Holder,Sedan,"20,000 to 29,000",400,1,more than 30,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,Collision,18.0
