Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange-Claim,NumberOfCars,Year,BasePolicy,FraudFound
2,4,6,6,1,6,5,0,0,2,6,0,5,1,5,0,11,0,0,3,2,3,1,3,0,0,0,3,0,2,0,2,0
4,2,6,6,1,2,5,3,1,2,19,0,4,1,5,1,14,1,3,3,2,3,4,4,1,0,0,3,3,0,0,1,0
10,4,0,6,1,5,10,1,1,1,32,0,4,1,5,2,6,1,2,3,2,0,5,6,0,0,0,3,3,0,0,1,0
6,1,2,17,0,1,6,0,1,1,50,1,2,1,0,3,3,1,1,3,2,0,6,7,1,0,0,2,3,0,0,2,0
4,4,1,6,1,6,4,1,0,2,12,1,4,1,5,4,2,1,0,3,2,3,3,4,0,0,0,3,3,0,0,1,0
10,3,0,6,1,7,10,0,1,2,5,1,4,1,5,5,11,1,2,3,2,3,3,2,0,0,0,1,3,0,0,1,0
3,0,2,6,1,2,4,2,1,1,21,1,4,1,5,6,13,1,0,3,2,0,5,5,0,0,0,0,3,0,0,1,0
9,0,0,6,1,6,8,3,1,2,0,0,4,1,5,7,0,1,3,3,2,0,7,0,0,0,0,3,3,0,0,1,0
2,3,2,6,1,7,3,4,1,2,15,0,4,1,5,8,6,1,3,3,2,3,4,4,0,1,0,1,3,0,0,1,0
0,2,5,5,1,7,1,2,1,1,27,0,6,2,5,9,6,1,0,3,2,1,6,5,0,0,0,1,3,0,0,0,0
7,1,3,9,1,7,8,2,1,2,56,0,0,0,5,10,6,1,2,3,2,3,6,8,0,0,0,3,3,0,0,0,0
7,4,1,6,1,2,8,4,1,1,37,0,2,1,0,11,12,1,0,3,2,1,6,6,0,0,0,3,3,0,0,2,0
4,2,0,5,1,1,5,2,1,1,13,0,2,1,5,12,10,1,0,3,2,0,5,4,0,0,0,3,3,0,0,2,0
4,4,0,6,0,7,4,0,1,2,0,1,1,0,5,13,11,1,2,3,2,3,7,0,0,0,0,3,3,0,0,1,0
4,4,1,5,1,5,4,0,1,1,46,0,2,1,5,14,2,1,0,3,2,3,6,7,0,0,0,3,3,0,0,2,0
1,3,5,5,1,2,2,4,1,2,23,0,2,1,5,15,15,1,0,3,2,3,4,5,0,0,0,3,3,0,0,2,0
0,3,4,5,1,7,9,0,1,1,26,0,0,0,5,16,14,1,3,3,2,3,5,5,0,0,0,3,3,0,0,0,0
5,4,3,2,1,7,2,0,0,1,13,1,1,0,0,17,5,1,0,3,2,3,5,4,0,0,0,0,3,0,0,1,0
8,3,4,13,1,2,9,4,1,2,17,0,2,1,0,18,5,1,0,3,2,0,5,4,0,0,0,3,3,0,0,2,0
0,3,1,6,1,6,9,0,1,1,15,1,2,1,5,19,1,1,1,3,2,1,4,4,0,0,0,2,3,0,0,2,0
0,1,0,9,1,6,9,0,1,1,25,0,2,1,0,20,2,1,0,3,2,0,6,5,0,0,0,2,3,0,0,2,0
4,1,2,2,1,2,5,1,1,1,32,0,1,0,0,21,12,1,1,3,2,0,6,6,0,0,0,3,2,1,0,1,0
1,2,3,9,1,5,2,4,1,1,48,0,2,1,0,22,7,1,2,3,2,0,6,7,0,0,0,0,3,0,0,2,0
6,2,2,13,1,6,7,2,1,2,16,1,2,1,1,23,4,1,2,3,2,3,4,4,0,0,0,1,3,0,0,2,0
11,2,0,9,1,1,12,2,1,1,30,0,0,0,5,24,11,1,2,3,2,2,6,5,1,0,0,3,3,0,0,0,0
7,2,1,13,1,6,1,0,1,1,45,0,2,1,0,25,15,1,3,3,2,2,6,7,0,0,0,3,3,0,0,2,0
7,2,4,6,1,5,7,3,1,1,6,0,1,0,1,26,0,1,1,3,2,2,3,3,0,0,0,2,3,0,0,1,0
8,2,3,0,1,1,9,3,1,1,27,0,0,0,1,27,0,1,2,3,2,1,5,5,0,0,0,0,3,0,0,0,0
5,0,2,6,1,6,12,3,1,2,0,0,0,0,5,28,8,1,0,3,2,3,7,0,0,0,0,3,3,0,0,0,1
8,2,1,9,1,7,9,3,0,1,24,0,1,0,0,29,11,1,2,3,2,3,5,5,0,0,0,3,3,0,0,1,0
7,1,0,3,1,3,8,1,1,1,32,0,1,0,1,30,1,1,0,3,2,1,6,6,0,0,1,3,3,0,0,1,0
7,0,3,6,1,6,8,1,1,2,0,0,1,0,5,31,5,1,0,3,2,0,7,0,0,0,0,3,3,0,0,1,0
7,1,6,2,1,7,8,1,1,2,27,0,1,0,0,32,1,1,2,3,2,2,5,5,0,0,0,1,3,0,0,1,0
4,3,1,6,1,6,5,3,1,2,15,1,1,0,0,33,1,1,3,3,2,3,4,4,0,0,0,0,3,0,0,1,0
4,3,5,5,1,7,5,3,1,1,27,0,6,2,5,34,11,1,0,3,2,1,5,5,0,0,0,3,3,0,0,0,0
10,1,6,2,1,5,11,1,1,2,19,1,2,1,0,35,4,1,2,3,2,1,5,4,0,0,0,2,3,0,0,2,0
10,1,5,6,1,5,11,2,1,1,15,1,1,0,0,36,10,1,3,3,2,3,4,4,0,0,0,2,3,0,0,1,0
11,1,0,9,1,1,12,2,1,2,12,0,1,0,1,37,3,1,1,3,2,3,5,4,0,0,0,2,3,0,0,1,0
9,3,5,6,1,5,10,3,1,1,40,0,4,1,5,38,11,1,0,3,2,3,6,6,0,0,0,3,3,0,0,1,0
9,3,4,17,1,6,5,0,1,1,20,0,1,0,0,39,0,1,2,3,2,3,5,4,0,0,0,0,3,0,0,1,0
7,3,6,2,1,7,1,0,0,1,20,0,1,0,0,40,10,1,0,3,2,1,4,4,0,0,0,2,3,0,0,1,0
7,2,0,13,1,7,8,3,1,1,29,0,0,0,0,41,14,1,0,3,2,1,5,5,0,0,0,1,3,2,0,0,0
5,0,1,17,1,2,6,0,0,2,27,0,2,1,0,42,11,1,3,3,2,3,2,5,0,0,0,3,2,1,0,2,0
4,2,5,6,1,2,5,3,1,1,26,0,1,0,0,43,4,1,1,3,2,1,5,5,0,0,0,0,3,0,0,1,0
4,2,6,17,1,7,5,3,1,1,57,1,1,0,0,44,15,1,0,3,2,3,6,8,0,0,0,3,3,0,0,1,0
3,1,6,13,1,5,4,1,0,1,14,1,0,0,4,45,7,1,2,3,2,1,3,4,0,0,0,3,3,0,0,0,0
3,1,4,13,1,2,4,2,1,2,17,1,1,0,1,46,8,1,3,3,2,3,4,4,0,0,1,3,3,0,0,1,0
9,3,4,9,1,1,10,3,1,1,22,0,2,1,1,47,12,1,2,3,2,1,3,5,0,0,0,2,3,0,0,2,0
0,2,4,2,1,5,9,0,0,1,22,0,2,1,5,48,9,1,0,3,2,1,4,5,0,0,0,1,3,0,0,2,0
0,2,0,13,1,6,1,2,1,1,44,0,1,0,0,49,8,1,3,3,2,2,6,7,0,0,0,1,3,0,0,1,0
8,3,0,13,1,1,9,3,1,1,34,0,2,1,1,50,13,1,1,3,2,2,6,6,0,0,0,3,3,0,0,2,0
6,3,6,13,1,1,7,3,1,1,12,0,2,1,0,51,3,2,2,3,2,1,4,4,0,0,0,1,1,0,0,2,0
5,2,3,6,0,7,5,3,1,1,6,0,4,1,5,52,3,1,3,3,2,3,2,3,0,0,0,1,3,0,0,1,1
5,3,2,6,1,7,2,1,1,1,35,0,1,0,0,53,12,1,0,3,2,3,6,6,0,0,0,1,3,0,0,1,1
6,3,5,13,1,6,7,3,1,2,30,0,1,0,1,54,7,1,0,3,2,0,5,5,0,0,0,0,3,0,0,1,0
2,2,1,9,1,7,3,2,1,1,34,1,0,0,0,55,6,1,3,3,2,3,6,6,0,0,0,1,3,0,0,0,0
6,3,0,6,1,5,7,4,1,2,15,0,0,0,0,56,4,1,3,3,2,1,4,4,0,0,0,3,3,0,0,0,0
9,1,0,0,1,2,10,1,1,2,22,0,1,0,5,57,10,1,2,3,2,1,5,5,0,0,0,3,3,0,0,1,0
8,0,1,6,0,7,9,3,1,2,0,0,2,1,5,58,14,1,3,3,2,3,7,0,0,0,0,3,3,0,0,2,0
8,0,6,2,1,2,9,1,0,2,12,0,1,0,0,59,3,1,3,3,2,3,4,4,0,0,0,0,3,0,0,1,0
9,0,1,17,1,2,10,2,1,2,15,0,0,0,1,60,4,1,3,3,2,3,3,4,0,0,0,3,3,0,0,0,0
11,1,5,13,1,1,5,3,1,1,34,0,7,2,2,61,5,1,3,3,2,3,6,6,0,0,0,3,3,0,0,1,0
9,3,3,6,1,1,5,2,1,2,0,1,0,0,5,62,2,1,1,3,2,1,7,0,0,0,0,3,3,0,0,0,0
