Age,Deductible,DriverRating,DaysDiff,Make,AccidentArea,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,Days:Policy-Accident,PastNumberOfClaims,Days:Policy-Claim,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange-Claim,NumberOfCars,BasePolicy,FraudFound
21,300,1,0.0,6.0,1.0,0.0,2.0,0.0,5.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0
34,400,4,5.0,6.0,1.0,1.0,2.0,0.0,4.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,0
47,400,3,13.0,6.0,1.0,1.0,1.0,0.0,4.0,1.0,3.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0
65,400,2,20.0,17.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,2.0,6.0,1.0,0.0,0.0,2.0,3.0,0.0,2.0,0
27,400,1,15.0,6.0,1.0,0.0,2.0,1.0,4.0,1.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0
20,400,3,12.0,6.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0
36,400,1,9.0,6.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0
17,400,4,137.0,6.0,1.0,1.0,2.0,0.0,4.0,1.0,3.0,3.0,0.0,2.0,7.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0
30,400,4,4.0,6.0,1.0,1.0,2.0,0.0,4.0,1.0,3.0,3.0,3.0,2.0,4.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0
42,400,1,1.0,5.0,1.0,1.0,1.0,0.0,6.0,2.0,3.0,3.0,1.0,2.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0
71,400,3,3.0,9.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0
