Make_0,Make_1,Make_2,Make_3,AccidentArea_0,AccidentArea_1,Sex_0,Sex_1,MaritalStatus_0,MaritalStatus_1,MaritalStatus_2,Age,Fault_0,Fault_1,VehicleCategory_0,VehicleCategory_1,VehiclePrice_0,VehiclePrice_1,VehiclePrice_2,Deductible,DriverRating,Days:Policy-Accident_0,Days:Policy-Accident_1,Days:Policy-Claim_0,Days:Policy-Claim_1,Days:Policy-Claim_2,PastNumberOfClaims_0,PastNumberOfClaims_1,PastNumberOfClaims_2,AgeOfVehicle_0,AgeOfVehicle_1,PoliceReportFiled_0,PoliceReportFiled_1,WitnessPresent_0,WitnessPresent_1,AgentType_0,AgentType_1,NumberOfSuppliments_0,NumberOfSuppliments_1,NumberOfSuppliments_2,AddressChange-Claim_0,AddressChange-Claim_1,NumberOfCars_0,NumberOfCars_1,BasePolicy_0,BasePolicy_1,DaysDiff,FraudFound
0,0,0,1,0,1,0,1,0,0,1,21,0,1,0,1,0,0,1,300,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0.0,0
0,0,0,1,0,1,1,0,0,0,1,34,0,1,0,1,0,0,1,400,4,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,5.0,0
0,0,0,1,0,1,1,0,0,1,0,47,0,1,0,1,0,0,1,400,3,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,13.0,0
0,0,1,0,1,0,1,0,0,1,0,65,1,0,0,1,0,1,0,400,2,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,20.0,0
0,0,0,1,0,1,0,1,0,0,1,27,1,0,0,1,0,0,1,400,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,15.0,0
0,0,0,1,0,1,1,0,0,0,1,20,1,0,0,1,0,0,1,400,3,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,12.0,0
0,0,0,1,0,1,1,0,0,1,0,36,1,0,0,1,0,0,1,400,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,9.0,0
0,0,0,1,0,1,1,0,0,0,1,17,0,1,0,1,0,0,1,400,4,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,137.0,0
0,0,0,1,0,1,1,0,0,0,1,30,0,1,0,1,0,0,1,400,4,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,4.0,0
0,0,1,1,0,1,1,0,0,1,0,42,0,1,1,0,0,0,1,400,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1.0,0
